Round,Winner,Loser,Games,YR
Eastern Conference Semifinals,Chicago Bulls,Philadelphia 76ers,5,1990
Eastern Conference Semifinals,Detroit Pistons,New York Knicks,5,1990
Western Conference Semifinals,Phoenix Suns,Los Angeles Lakers,5,1990
Western Conference Semifinals,Portland Trail Blazers,San Antonio Spurs,7,1990
Eastern Conference First Round,Chicago Bulls,Milwaukee Bucks,4,1990
Eastern Conference First Round,Detroit Pistons,Indiana Pacers,3,1990
Eastern Conference First Round,New York Knicks,Boston Celtics,5,1990
Eastern Conference First Round,Philadelphia 76ers,Cleveland Cavaliers,5,1990
Western Conference First Round,Los Angeles Lakers,Houston Rockets,4,1990
Western Conference First Round,Phoenix Suns,Utah Jazz,5,1990
Western Conference First Round,Portland Trail Blazers,Dallas Mavericks,3,1990
Western Conference First Round,San Antonio Spurs,Denver Nuggets,3,1990
Finals,Houston Rockets,New York Knicks,7,1994
Eastern Conference Finals,New York Knicks,Indiana Pacers,7,1994
Western Conference Finals,Houston Rockets,Utah Jazz,5,1994
Eastern Conference Semifinals,Indiana Pacers,Atlanta Hawks,6,1994
Eastern Conference Semifinals,New York Knicks,Chicago Bulls,7,1994
Western Conference Semifinals,Houston Rockets,Phoenix Suns,7,1994
Western Conference Semifinals,Utah Jazz,Denver Nuggets,7,1994
Eastern Conference First Round,Atlanta Hawks,Miami Heat,5,1994
Eastern Conference First Round,Chicago Bulls,Cleveland Cavaliers,3,1994
Eastern Conference First Round,Indiana Pacers,Orlando Magic,3,1994
Eastern Conference First Round,New York Knicks,New Jersey Nets,4,1994
Western Conference First Round,Denver Nuggets,Seattle SuperSonics,5,1994
Western Conference First Round,Houston Rockets,Portland Trail Blazers,4,1994
Western Conference First Round,Phoenix Suns,Golden State Warriors,3,1994
Western Conference First Round,Utah Jazz,San Antonio Spurs,4,1994
Finals,Chicago Bulls,Utah Jazz,6,1997
Eastern Conference Finals,Chicago Bulls,Miami Heat,5,1997
Western Conference Finals,Utah Jazz,Houston Rockets,6,1997
Eastern Conference Semifinals,Chicago Bulls,Atlanta Hawks,5,1997
Eastern Conference Semifinals,Miami Heat,New York Knicks,7,1997
Western Conference Semifinals,Houston Rockets,Seattle SuperSonics,7,1997
Western Conference Semifinals,Utah Jazz,Los Angeles Lakers,5,1997
Eastern Conference First Round,Atlanta Hawks,Detroit Pistons,5,1997
Eastern Conference First Round,Chicago Bulls,Washington Bullets,3,1997
Eastern Conference First Round,Miami Heat,Orlando Magic,5,1997
Eastern Conference First Round,New York Knicks,Charlotte Hornets,3,1997
Western Conference First Round,Houston Rockets,Minnesota Timberwolves,3,1997
Western Conference First Round,Los Angeles Lakers,Portland Trail Blazers,4,1997
Western Conference First Round,Seattle SuperSonics,Phoenix Suns,5,1997
Western Conference First Round,Utah Jazz,Los Angeles Clippers,3,1997
Finals,Chicago Bulls,Portland Trail Blazers,6,1992
Eastern Conference Finals,Chicago Bulls,Cleveland Cavaliers,6,1992
Western Conference Finals,Portland Trail Blazers,Utah Jazz,6,1992
Eastern Conference Semifinals,Chicago Bulls,New York Knicks,7,1992
Eastern Conference Semifinals,Cleveland Cavaliers,Boston Celtics,7,1992
Western Conference Semifinals,Portland Trail Blazers,Phoenix Suns,5,1992
Western Conference Semifinals,Utah Jazz,Seattle SuperSonics,5,1992
Eastern Conference First Round,Boston Celtics,Indiana Pacers,3,1992
Eastern Conference First Round,Chicago Bulls,Miami Heat,3,1992
Eastern Conference First Round,Cleveland Cavaliers,New Jersey Nets,4,1992
Eastern Conference First Round,New York Knicks,Detroit Pistons,5,1992
Western Conference First Round,Phoenix Suns,San Antonio Spurs,3,1992
Western Conference First Round,Portland Trail Blazers,Los Angeles Lakers,4,1992
Western Conference First Round,Seattle SuperSonics,Golden State Warriors,4,1992
Western Conference First Round,Utah Jazz,Los Angeles Clippers,5,1992
Finals,Chicago Bulls,Seattle SuperSonics,6,1996
Eastern Conference Finals,Chicago Bulls,Orlando Magic,4,1996
Western Conference Finals,Seattle SuperSonics,Utah Jazz,7,1996
Eastern Conference Semifinals,Chicago Bulls,New York Knicks,5,1996
Eastern Conference Semifinals,Orlando Magic,Atlanta Hawks,5,1996
Western Conference Semifinals,Seattle SuperSonics,Houston Rockets,4,1996
Western Conference Semifinals,Utah Jazz,San Antonio Spurs,6,1996
Eastern Conference First Round,Atlanta Hawks,Indiana Pacers,5,1996
Eastern Conference First Round,Chicago Bulls,Miami Heat,3,1996
Eastern Conference First Round,New York Knicks,Cleveland Cavaliers,3,1996
Eastern Conference First Round,Orlando Magic,Detroit Pistons,3,1996
Western Conference First Round,Houston Rockets,Los Angeles Lakers,4,1996
Western Conference First Round,San Antonio Spurs,Phoenix Suns,4,1996
Western Conference First Round,Seattle SuperSonics,Sacramento Kings,4,1996
Western Conference First Round,Utah Jazz,Portland Trail Blazers,5,1996
Finals,Boston Celtics,Los Angeles Lakers,7,1984
Eastern Conference Finals,Boston Celtics,Milwaukee Bucks,5,1984
Western Conference Finals,Los Angeles Lakers,Phoenix Suns,6,1984
Eastern Conference Semifinals,Boston Celtics,New York Knicks,7,1984
Eastern Conference Semifinals,Milwaukee Bucks,New Jersey Nets,6,1984
