Date,Visitor,Visitor_Pts,Home,Home_Pts,OT,Playoffs,YR
1979-10-12,New York Knicks,104,Atlanta Hawks,121,0.0,0,1980
1979-10-12,Houston Rockets,106,Boston Celtics,114,0.0,0,1980
1979-10-12,Indiana Pacers,105,Detroit Pistons,114,0.0,0,1980
1979-10-12,Milwaukee Bucks,103,Kansas City Kings,105,0.0,0,1980
1979-10-12,Cleveland Cavaliers,95,New Jersey Nets,102,0.0,0,1980
1979-10-12,Golden State Warriors,89,Phoenix Suns,97,0.0,0,1980
1979-10-12,Utah Jazz,85,Portland Trail Blazers,101,0.0,0,1980
1979-10-12,Los Angeles Lakers,103,San Diego Clippers,102,0.0,0,1980
1979-10-12,Philadelphia 76ers,93,Washington Bullets,92,0.0,0,1980
1979-10-13,Boston Celtics,139,Cleveland Cavaliers,117,0.0,0,1980
1979-10-13,Milwaukee Bucks,125,Denver Nuggets,96,0.0,0,1980
1979-10-13,Chicago Bulls,102,Golden State Warriors,96,1.0,0,1980
1979-10-13,Atlanta Hawks,101,Indiana Pacers,115,0.0,0,1980
1979-10-13,Washington Bullets,118,New York Knicks,125,1.0,0,1980
1979-10-13,Houston Rockets,105,Philadelphia 76ers,113,0.0,0,1980
1979-10-13,Detroit Pistons,112,San Antonio Spurs,110,0.0,0,1980
1979-10-14,Chicago Bulls,102,Phoenix Suns,112,0.0,0,1980
1979-10-14,Denver Nuggets,93,Portland Trail Blazers,109,0.0,0,1980
1979-10-14,Seattle SuperSonics,93,San Diego Clippers,98,0.0,0,1980
1979-10-15,Milwaukee Bucks,131,Utah Jazz,107,0.0,0,1980
1979-10-16,San Antonio Spurs,118,Atlanta Hawks,116,0.0,0,1980
1979-10-16,Detroit Pistons,117,Cleveland Cavaliers,137,0.0,0,1980
1979-10-16,Golden State Warriors,108,Denver Nuggets,106,0.0,0,1980
1979-10-16,New Jersey Nets,100,Indiana Pacers,113,0.0,0,1980
1979-10-16,Chicago Bulls,96,Los Angeles Lakers,105,0.0,0,1980
1979-10-16,Houston Rockets,121,New York Knicks,126,0.0,0,1980
1979-10-16,Seattle SuperSonics,86,Phoenix Suns,102,0.0,0,1980
1979-10-16,San Diego Clippers,81,Portland Trail Blazers,88,0.0,0,1980
1979-10-17,Cleveland Cavaliers,108,Boston Celtics,127,0.0,0,1980
1979-10-17,Indiana Pacers,112,Houston Rockets,116,0.0,0,1980
1979-10-17,Golden State Warriors,107,Kansas City Kings,94,0.0,0,1980
1979-10-17,Denver Nuggets,97,Milwaukee Bucks,125,0.0,0,1980
1979-10-17,Philadelphia 76ers,113,New Jersey Nets,88,0.0,0,1980
1979-10-17,Los Angeles Lakers,110,Seattle SuperSonics,112,0.0,0,1980
1979-10-17,Atlanta Hawks,97,Washington Bullets,100,0.0,0,1980
1979-10-18,Indiana Pacers,85,Atlanta Hawks,115,0.0,0,1980
1979-10-18,San Antonio Spurs,134,Cleveland Cavaliers,141,0.0,0,1980
1979-10-18,New York Knicks,115,Detroit Pistons,129,0.0,0,1980
1979-10-18,Chicago Bulls,107,San Diego Clippers,111,0.0,0,1980
1979-10-18,Portland Trail Blazers,107,Utah Jazz,92,0.0,0,1980
1979-10-19,Washington Bullets,93,Boston Celtics,130,0.0,0,1980
1979-10-19,Kansas City Kings,107,Denver Nuggets,84,0.0,0,1980
1979-10-19,Portland Trail Blazers,99,Los Angeles Lakers,82,0.0,0,1980
1979-10-19,Phoenix Suns,94,Milwaukee Bucks,95,0.0,0,1980
1979-10-19,New York Knicks,111,New Jersey Nets,106,0.0,0,1980
1979-10-19,Detroit Pistons,104,Philadelphia 76ers,112,0.0,0,1980
1979-10-19,San Diego Clippers,98,Seattle SuperSonics,106,0.0,0,1980
1979-10-20,Phoenix Suns,104,Chicago Bulls,116,0.0,0,1980
1979-10-20,Utah Jazz,96,Golden State Warriors,101,0.0,0,1980
1979-10-20,Atlanta Hawks,102,Houston Rockets,107,0.0,0,1980
1979-10-20,Boston Celtics,128,Indiana Pacers,131,1.0,0,1980
1979-10-20,Philadelphia 76ers,136,New York Knicks,111,0.0,0,1980
1979-10-20,Cleveland Cavaliers,127,San Antonio Spurs,129,0.0,0,1980
1979-10-20,Detroit Pistons,106,Washington Bullets,117,0.0,0,1980
1979-10-21,Phoenix Suns,85,Kansas City Kings,122,0.0,0,1980
1979-10-21,Seattle SuperSonics,97,Los Angeles Lakers,106,0.0,0,1980
1979-10-21,Chicago Bulls,111,Milwaukee Bucks,113,0.0,0,1980
1979-10-21,Golden State Warriors,74,Portland Trail Blazers,91,0.0,0,1980
1979-10-22,San Diego Clippers,109,Utah Jazz,110,0.0,0,1980
1979-10-23,New Jersey Nets,103,Chicago Bulls,108,0.0,0,1980
1979-10-23,Atlanta Hawks,121,Cleveland Cavaliers,111,0.0,0,1980
1979-10-23,Utah Jazz,87,Los Angeles Lakers,102,0.0,0,1980
1979-10-23,Indiana Pacers,112,New York Knicks,136,0.0,0,1980
1979-10-23,Milwaukee Bucks,114,Phoenix Suns,108,0.0,0,1980
1979-10-23,Kansas City Kings,88,Portland Trail Blazers,90,0.0,0,1980
1979-10-23,Boston Celtics,120,San Antonio Spurs,129,0.0,0,1980
1979-10-23,Denver Nuggets,127,San Diego Clippers,132,0.0,0,1980
1979-10-24,Cleveland Cavaliers,118,Atlanta Hawks,128,0.0,0,1980
1979-10-24,Portland Trail Blazers,88,Denver Nuggets,87,0.0,0,1980
1979-10-24,Washington Bullets,103,Detroit Pistons,104,0.0,0,1980
1979-10-24,Phoenix Suns,110,Golden State Warriors,108,1.0,0,1980
1979-10-24,Boston Celtics,100,Houston Rockets,99,0.0,0,1980
1979-10-24,Indiana Pacers,110,Philadelphia 76ers,132,0.0,0,1980
1979-10-24,Kansas City Kings,92,Seattle SuperSonics,105,0.0,0,1980
1979-10-25,Milwaukee Bucks,118,San Diego Clippers,115,0.0,0,1980
1979-10-25,Chicago Bulls,105,Utah Jazz,113,0.0,0,1980
1979-10-26,San Antonio Spurs,129,Detroit Pistons,113,0.0,0,1980
1979-10-26,Washington Bullets,108,Indiana Pacers,118,0.0,0,1980
1979-10-26,Kansas City Kings,104,Los Angeles Lakers,116,0.0,0,1980
1979-10-26,Atlanta Hawks,94,New Jersey Nets,90,0.0,0,1980
1979-10-26,New York Knicks,116,Philadelphia 76ers,127,0.0,0,1980
1979-10-26,Chicago Bulls,93,Portland Trail Blazers,95,0.0,0,1980
1979-10-26,Phoenix Suns,92,Seattle SuperSonics,86,0.0,0,1980
1979-10-27,Boston Celtics,100,Atlanta Hawks,95,0.0,0,1980
1979-10-27,Philadelphia 76ers,112,Cleveland Cavaliers,106,0.0,0,1980
1979-10-27,Utah Jazz,96,Denver Nuggets,116,0.0,0,1980
1979-10-27,Kansas City Kings,95,Golden State Warriors,101,0.0,0,1980
1979-10-27,Detroit Pistons,118,Milwaukee Bucks,132,0.0,0,1980
1979-10-27,New Jersey Nets,92,New York Knicks,94,0.0,0,1980
1979-10-27,Indiana Pacers,121,San Antonio Spurs,128,0.0,0,1980
1979-10-27,Seattle SuperSonics,105,San Diego Clippers,110,0.0,0,1980
1979-10-28,Golden State Warriors,90,Los Angeles Lakers,97,0.0,0,1980
1979-10-28,Houston Rockets,115,New Jersey Nets,120,0.0,0,1980
1979-10-28,Phoenix Suns,89,Portland Trail Blazers,88,0.0,0,1980
1979-10-28,Kansas City Kings,106,San Diego Clippers,101,0.0,0,1980
1979-10-28,Chicago Bulls,97,Seattle SuperSonics,108,0.0,0,1980
1979-10-30,Los Angeles Lakers,111,Chicago Bulls,105,0.0,0,1980
1979-10-30,Houston Rockets,112,Cleveland Cavaliers,124,0.0,0,1980
1979-10-30,New York Knicks,112,Denver Nuggets,121,0.0,0,1980
1979-10-30,San Antonio Spurs,109,Phoenix Suns,142,0.0,0,1980
1979-10-31,Philadelphia 76ers,97,Atlanta Hawks,102,0.0,0,1980
1979-10-31,Portland Trail Blazers,106,Golden State Warriors,111,0.0,0,1980
1979-10-31,Houston Rockets,129,Indiana Pacers,133,1.0,0,1980
1979-10-31,Utah Jazz,108,Kansas City Kings,125,0.0,0,1980
1979-10-31,Los Angeles Lakers,106,Milwaukee Bucks,110,0.0,0,1980
1979-10-31,Boston Celtics,116,New Jersey Nets,79,0.0,0,1980
1979-10-31,San Antonio Spurs,130,San Diego Clippers,123,0.0,0,1980
1979-10-31,Denver Nuggets,89,Seattle SuperSonics,97,0.0,0,1980
1979-10-31,Cleveland Cavaliers,105,Washington Bullets,114,0.0,0,1980
1979-11-01,Cleveland Cavaliers,127,Detroit Pistons,125,0.0,0,1980
1979-11-01,New York Knicks,134,Utah Jazz,118,0.0,0,1980
1979-11-02,Chicago Bulls,99,Denver Nuggets,113,0.0,0,1980
1979-11-02,New York Knicks,112,Kansas City Kings,111,0.0,0,1980
1979-11-02,Phoenix Suns,110,Los Angeles Lakers,112,0.0,0,1980
1979-11-02,Indiana Pacers,93,New Jersey Nets,115,0.0,0,1980
1979-11-02,Atlanta Hawks,85,Philadelphia 76ers,81,0.0,0,1980
1979-11-02,Portland Trail Blazers,123,San Diego Clippers,102,0.0,0,1980
1979-11-02,San Antonio Spurs,107,Seattle SuperSonics,117,0.0,0,1980
1979-11-03,New Jersey Nets,107,Atlanta Hawks,110,0.0,0,1980
1979-11-03,Milwaukee Bucks,136,Chicago Bulls,134,1.0,0,1980
1979-11-03,Kansas City Kings,110,Cleveland Cavaliers,123,0.0,0,1980
1979-11-03,Houston Rockets,114,Detroit Pistons,111,0.0,0,1980
1979-11-03,Denver Nuggets,103,Golden State Warriors,130,0.0,0,1980
1979-11-03,Philadelphia 76ers,120,Indiana Pacers,114,,0,1980
1979-11-03,Utah Jazz,109,San Diego Clippers,126,0.0,0,1980
1979-11-03,Boston Celtics,118,Washington Bullets,97,0.0,0,1980
1979-11-04,Seattle SuperSonics,114,Milwaukee Bucks,101,0.0,0,1980
1979-11-04,Kansas City Kings,98,New Jersey Nets,101,0.0,0,1980
1979-11-04,San Antonio Spurs,124,Portland Trail Blazers,127,1.0,0,1980
1979-11-06,Seattle SuperSonics,114,Chicago Bulls,97,0.0,0,1980
1979-11-06,Indiana Pacers,117,Cleveland Cavaliers,134,0.0,0,1980
1979-11-06,San Diego Clippers,112,Los Angeles Lakers,127,0.0,0,1980
1979-11-06,Philadelphia 76ers,118,Milwaukee Bucks,117,1.0,0,1980
1979-11-06,Atlanta Hawks,98,New York Knicks,96,0.0,0,1980
1979-11-06,New Jersey Nets,95,San Antonio Spurs,108,0.0,0,1980
1979-11-06,Phoenix Suns,120,Utah Jazz,107,0.0,0,1980
1979-11-07,San Antonio Spurs,105,Boston Celtics,117,0.0,0,1980
1979-11-07,Seattle SuperSonics,92,Denver Nuggets,113,0.0,0,1980
1979-11-07,Atlanta Hawks,115,Detroit Pistons,107,0.0,0,1980
1979-11-07,Los Angeles Lakers,109,Golden State Warriors,126,0.0,0,1980
1979-11-07,New Jersey Nets,101,Houston Rockets,106,0.0,0,1980
1979-11-07,Portland Trail Blazers,90,Indiana Pacers,97,0.0,0,1980
1979-11-07,Kansas City Kings,102,Philadelphia 76ers,110,0.0,0,1980
1979-11-07,San Diego Clippers,114,Phoenix Suns,102,0.0,0,1980
1979-11-08,Portland Trail Blazers,89,Milwaukee Bucks,98,0.0,0,1980
1979-11-08,Denver Nuggets,96,Utah Jazz,92,0.0,0,1980
1979-11-09,Kansas City Kings,119,Boston Celtics,127,0.0,0,1980
1979-11-09,San Diego Clippers,92,Chicago Bulls,107,0.0,0,1980
1979-11-09,Philadelphia 76ers,98,Detroit Pistons,106,0.0,0,1980
1979-11-09,Denver Nuggets,122,Los Angeles Lakers,126,1.0,0,1980
1979-11-09,Cleveland Cavaliers,106,Phoenix Suns,110,0.0,0,1980
1979-11-09,San Antonio Spurs,116,Washington Bullets,125,0.0,0,1980
1979-11-10,Washington Bullets,105,Atlanta Hawks,109,0.0,0,1980
1979-11-10,Portland Trail Blazers,94,Chicago Bulls,90,0.0,0,1980
1979-11-10,Indiana Pacers,104,Golden State Warriors,101,0.0,0,1980
1979-11-10,Detroit Pistons,104,Houston Rockets,112,0.0,0,1980
1979-11-10,San Diego Clippers,104,Milwaukee Bucks,133,0.0,0,1980
1979-11-10,San Antonio Spurs,123,New York Knicks,119,0.0,0,1980
1979-11-10,Boston Celtics,94,Philadelphia 76ers,95,0.0,0,1980
1979-11-10,Seattle SuperSonics,88,Utah Jazz,87,0.0,0,1980
1979-11-11,Portland Trail Blazers,112,Kansas City Kings,109,0.0,0,1980
1979-11-11,Cleveland Cavaliers,126,Los Angeles Lakers,140,0.0,0,1980
1979-11-11,Denver Nuggets,91,Phoenix Suns,116,0.0,0,1980
1979-11-12,Indiana Pacers,113,Utah Jazz,105,1.0,0,1980
1979-11-13,Houston Rockets,128,Chicago Bulls,127,0.0,0,1980
1979-11-13,Cleveland Cavaliers,110,Denver Nuggets,116,0.0,0,1980
1979-11-13,Philadelphia 76ers,103,Kansas City Kings,110,0.0,0,1980
1979-11-13,Atlanta Hawks,82,New Jersey Nets,101,0.0,0,1980
1979-11-13,Washington Bullets,111,New York Knicks,107,0.0,0,1980
1979-11-13,Milwaukee Bucks,101,Portland Trail Blazers,92,0.0,0,1980
1979-11-13,Golden State Warriors,127,San Antonio Spurs,131,1.0,0,1980
1979-11-13,Los Angeles Lakers,137,San Diego Clippers,91,0.0,0,1980
1979-11-14,Utah Jazz,97,Atlanta Hawks,108,0.0,0,1980
1979-11-14,Detroit Pistons,111,Boston Celtics,115,0.0,0,1980
1979-11-14,Golden State Warriors,92,Houston Rockets,133,0.0,0,1980
1979-11-14,Indiana Pacers,100,Phoenix Suns,104,0.0,0,1980
1979-11-14,Milwaukee Bucks,117,Seattle SuperSonics,136,0.0,0,1980
1979-11-14,Chicago Bulls,105,Washington Bullets,118,0.0,0,1980
1979-11-15,Denver Nuggets,102,Golden State Warriors,120,0.0,0,1980
1979-11-15,Los Angeles Lakers,108,Kansas City Kings,114,0.0,0,1980
1979-11-15,New York Knicks,132,San Antonio Spurs,136,0.0,0,1980
1979-11-16,Utah Jazz,97,Boston Celtics,113,0.0,0,1980
1979-11-16,Los Angeles Lakers,135,Denver Nuggets,128,1.0,0,1980
1979-11-16,New York Knicks,130,Houston Rockets,133,0.0,0,1980
1979-11-16,Chicago Bulls,97,Kansas City Kings,103,0.0,0,1980
1979-11-16,Washington Bullets,92,New Jersey Nets,91,0.0,0,1980
1979-11-16,San Antonio Spurs,106,Philadelphia 76ers,105,0.0,0,1980
1979-11-16,Portland Trail Blazers,97,Phoenix Suns,98,0.0,0,1980
1979-11-16,Indiana Pacers,97,San Diego Clippers,105,0.0,0,1980
1979-11-16,Cleveland Cavaliers,100,Seattle SuperSonics,108,0.0,0,1980
1979-11-17,Houston Rockets,102,Atlanta Hawks,100,0.0,0,1980
1979-11-17,Philadelphia 76ers,103,Chicago Bulls,106,1.0,0,1980
1979-11-17,New Jersey Nets,98,Detroit Pistons,93,0.0,0,1980
1979-11-17,Seattle SuperSonics,108,Golden State Warriors,103,0.0,0,1980
1979-11-17,Boston Celtics,109,New York Knicks,113,0.0,0,1980
1979-11-17,Cleveland Cavaliers,96,Portland Trail Blazers,103,0.0,0,1980
1979-11-17,Utah Jazz,103,Washington Bullets,111,0.0,0,1980
1979-11-18,Kansas City Kings,109,Denver Nuggets,92,0.0,0,1980
1979-11-18,Indiana Pacers,104,Los Angeles Lakers,127,0.0,0,1980
1979-11-18,San Antonio Spurs,105,New Jersey Nets,107,0.0,0,1980
1979-11-18,Golden State Warriors,99,Phoenix Suns,95,0.0,0,1980
1979-11-18,Seattle SuperSonics,95,Portland Trail Blazers,100,0.0,0,1980
1979-11-18,Milwaukee Bucks,96,San Diego Clippers,112,0.0,0,1980
1979-11-20,Detroit Pistons,105,Atlanta Hawks,109,0.0,0,1980
1979-11-20,Denver Nuggets,124,Chicago Bulls,91,0.0,0,1980
1979-11-20,Utah Jazz,107,Cleveland Cavaliers,119,0.0,0,1980
1979-11-20,Golden State Warriors,109,Kansas City Kings,112,0.0,0,1980
1979-11-20,Houston Rockets,125,New York Knicks,130,1.0,0,1980
1979-11-20,Los Angeles Lakers,99,Portland Trail Blazers,114,0.0,0,1980
1979-11-20,Philadelphia 76ers,118,San Antonio Spurs,114,0.0,0,1980
1979-11-20,Phoenix Suns,110,San Diego Clippers,117,0.0,0,1980
1979-11-21,New Jersey Nets,103,Boston Celtics,111,0.0,0,1980
1979-11-21,San Diego Clippers,84,Denver Nuggets,105,0.0,0,1980
1979-11-21,Utah Jazz,93,Detroit Pistons,98,0.0,0,1980
1979-11-21,Philadelphia 76ers,94,Houston Rockets,97,0.0,0,1980
1979-11-21,New York Knicks,108,Indiana Pacers,119,0.0,0,1980
1979-11-21,Atlanta Hawks,93,Milwaukee Bucks,96,0.0,0,1980
1979-11-21,Kansas City Kings,120,Phoenix Suns,128,0.0,0,1980
1979-11-21,Los Angeles Lakers,110,Seattle SuperSonics,119,0.0,0,1980
1979-11-21,Cleveland Cavaliers,122,Washington Bullets,103,0.0,0,1980
1979-11-22,Golden State Warriors,93,Cleveland Cavaliers,120,0.0,0,1980
1979-11-22,Milwaukee Bucks,117,New Jersey Nets,109,0.0,0,1980
1979-11-23,Indiana Pacers,103,Boston Celtics,118,0.0,0,1980
1979-11-23,Atlanta Hawks,98,Chicago Bulls,103,0.0,0,1980
1979-11-23,Milwaukee Bucks,100,Detroit Pistons,119,0.0,0,1980
1979-11-23,Houston Rockets,102,Philadelphia 76ers,113,0.0,0,1980
1979-11-23,Los Angeles Lakers,112,Phoenix Suns,126,0.0,0,1980
1979-11-23,Washington Bullets,108,San Antonio Spurs,128,0.0,0,1980
1979-11-23,Kansas City Kings,107,San Diego Clippers,91,0.0,0,1980
1979-11-23,Portland Trail Blazers,90,Seattle SuperSonics,94,0.0,0,1980
1979-11-24,Boston Celtics,106,Atlanta Hawks,101,0.0,0,1980
1979-11-24,Golden State Warriors,106,Chicago Bulls,101,0.0,0,1980
1979-11-24,Phoenix Suns,115,Denver Nuggets,101,0.0,0,1980
1979-11-24,Washington Bullets,105,Houston Rockets,103,0.0,0,1980
1979-11-24,Detroit Pistons,97,Indiana Pacers,115,0.0,0,1980
1979-11-24,Cleveland Cavaliers,113,New York Knicks,133,0.0,0,1980
1979-11-24,New Jersey Nets,82,Philadelphia 76ers,91,0.0,0,1980
1979-11-25,New Jersey Nets,103,Cleveland Cavaliers,112,0.0,0,1980
1979-11-25,Kansas City Kings,110,Los Angeles Lakers,111,0.0,0,1980
1979-11-25,Golden State Warriors,90,Milwaukee Bucks,114,0.0,0,1980
1979-11-25,Phoenix Suns,87,Portland Trail Blazers,86,0.0,0,1980
1979-11-26,Indiana Pacers,112,Philadelphia 76ers,113,0.0,0,1980
1979-11-27,Houston Rockets,115,Kansas City Kings,117,0.0,0,1980
1979-11-27,New Jersey Nets,118,Milwaukee Bucks,93,0.0,0,1980
1979-11-27,Detroit Pistons,114,New York Knicks,116,1.0,0,1980
1979-11-27,Atlanta Hawks,143,San Antonio Spurs,120,0.0,0,1980
1979-11-27,Chicago Bulls,103,San Diego Clippers,128,0.0,0,1980
1979-11-27,Los Angeles Lakers,122,Utah Jazz,118,0.0,0,1980
1979-11-27,Denver Nuggets,96,Washington Bullets,91,0.0,0,1980
1979-11-28,Portland Trail Blazers,99,Atlanta Hawks,106,0.0,0,1980
1979-11-28,Denver Nuggets,97,Boston Celtics,119,0.0,0,1980
1979-11-28,San Diego Clippers,114,Golden State Warriors,108,0.0,0,1980
1979-11-28,Cleveland Cavaliers,111,Houston Rockets,113,1.0,0,1980
1979-11-28,Milwaukee Bucks,87,Indiana Pacers,79,0.0,0,1980
1979-11-28,Detroit Pistons,89,New Jersey Nets,98,0.0,0,1980
1979-11-28,Washington Bullets,102,Philadelphia 76ers,120,0.0,0,1980
1979-11-28,Phoenix Suns,116,Seattle SuperSonics,127,0.0,0,1980
1979-11-29,New York Knicks,115,Cleveland Cavaliers,117,0.0,0,1980
1979-11-29,Kansas City Kings,105,Detroit Pistons,95,0.0,0,1980
1979-11-30,New York Knicks,97,Boston Celtics,100,0.0,0,1980
1979-11-30,Utah Jazz,112,Golden State Warriors,104,0.0,0,1980
1979-11-30,Atlanta Hawks,95,Houston Rockets,106,0.0,0,1980
1979-11-30,Seattle SuperSonics,107,Kansas City Kings,102,1.0,0,1980
1979-11-30,Chicago Bulls,107,Los Angeles Lakers,100,0.0,0,1980
1979-11-30,Denver Nuggets,118,New Jersey Nets,127,0.0,0,1980
1979-11-30,San Diego Clippers,101,Philadelphia 76ers,104,0.0,0,1980
1979-11-30,Portland Trail Blazers,100,San Antonio Spurs,107,0.0,0,1980
1979-11-30,Indiana Pacers,99,Washington Bullets,91,0.0,0,1980
1979-12-01,San Diego Clippers,96,Atlanta Hawks,106,0.0,0,1980
1979-12-01,San Antonio Spurs,124,Detroit Pistons,134,0.0,0,1980
1979-12-01,Milwaukee Bucks,109,Golden State Warriors,99,0.0,0,1980
1979-12-01,Portland Trail Blazers,112,Houston Rockets,120,1.0,0,1980
1979-12-01,Boston Celtics,106,Indiana Pacers,102,1.0,0,1980
1979-12-01,Denver Nuggets,112,New York Knicks,121,0.0,0,1980
1979-12-01,Cleveland Cavaliers,105,Philadelphia 76ers,117,0.0,0,1980
1979-12-01,Chicago Bulls,86,Phoenix Suns,99,0.0,0,1980
1979-12-01,Seattle SuperSonics,95,Utah Jazz,97,0.0,0,1980
1979-12-01,New Jersey Nets,100,Washington Bullets,104,0.0,0,1980
1979-12-02,Atlanta Hawks,108,Cleveland Cavaliers,126,0.0,0,1980
1979-12-02,Boston Celtics,88,Kansas City Kings,94,0.0,0,1980
1979-12-02,Milwaukee Bucks,103,Los Angeles Lakers,116,0.0,0,1980
1979-12-02,Golden State Warriors,98,Seattle SuperSonics,111,0.0,0,1980
1979-12-03,Milwaukee Bucks,96,Utah Jazz,89,0.0,0,1980
1979-12-04,San Diego Clippers,112,Cleveland Cavaliers,115,0.0,0,1980
1979-12-04,Boston Celtics,118,Detroit Pistons,114,1.0,0,1980
1979-12-04,Phoenix Suns,114,New York Knicks,118,0.0,0,1980
1979-12-04,Los Angeles Lakers,127,San Antonio Spurs,121,0.0,0,1980
1979-12-05,Atlanta Hawks,120,Boston Celtics,92,0.0,0,1980
1979-12-05,Milwaukee Bucks,107,Denver Nuggets,123,0.0,0,1980
1979-12-05,Chicago Bulls,90,Golden State Warriors,97,0.0,0,1980
1979-12-05,Los Angeles Lakers,116,Houston Rockets,114,0.0,0,1980
1979-12-05,Cleveland Cavaliers,99,Indiana Pacers,118,0.0,0,1980
1979-12-05,Detroit Pistons,93,Kansas City Kings,109,0.0,0,1980
1979-12-05,Phoenix Suns,100,New Jersey Nets,115,0.0,0,1980
1979-12-05,San Antonio Spurs,120,Philadelphia 76ers,132,0.0,0,1980
1979-12-05,Utah Jazz,96,Seattle SuperSonics,115,0.0,0,1980
1979-12-05,New York Knicks,107,Washington Bullets,104,0.0,0,1980
1979-12-06,Golden State Warriors,103,San Diego Clippers,105,0.0,0,1980
1979-12-06,Portland Trail Blazers,82,Utah Jazz,87,1.0,0,1980
1979-12-07,Phoenix Suns,92,Boston Celtics,100,0.0,0,1980
1979-12-07,Detroit Pistons,109,Houston Rockets,124,0.0,0,1980
1979-12-07,San Diego Clippers,116,Los Angeles Lakers,108,0.0,0,1980
1979-12-07,San Antonio Spurs,117,Milwaukee Bucks,105,0.0,0,1980
1979-12-07,Chicago Bulls,95,Portland Trail Blazers,93,0.0,0,1980
1979-12-08,Boston Celtics,100,Cleveland Cavaliers,116,0.0,0,1980
1979-12-08,Utah Jazz,119,Denver Nuggets,103,0.0,0,1980
1979-12-08,Seattle SuperSonics,125,Golden State Warriors,100,0.0,0,1980
1979-12-08,Detroit Pistons,102,Indiana Pacers,103,0.0,0,1980
1979-12-08,Kansas City Kings,145,New York Knicks,129,0.0,0,1980
1979-12-08,Phoenix Suns,96,Philadelphia 76ers,117,0.0,0,1980
1979-12-08,Houston Rockets,129,San Antonio Spurs,138,0.0,0,1980
1979-12-08,Atlanta Hawks,95,Washington Bullets,96,0.0,0,1980
1979-12-09,Denver Nuggets,118,Los Angeles Lakers,131,0.0,0,1980
1979-12-09,Boston Celtics,113,Milwaukee Bucks,108,0.0,0,1980
1979-12-09,Atlanta Hawks,122,New Jersey Nets,85,0.0,0,1980
1979-12-09,San Diego Clippers,98,Portland Trail Blazers,96,0.0,0,1980
1979-12-09,Chicago Bulls,121,Seattle SuperSonics,112,0.0,0,1980
1979-12-10,Golden State Warriors,93,Utah Jazz,100,0.0,0,1980
1979-12-11,Portland Trail Blazers,93,Chicago Bulls,104,0.0,0,1980
1979-12-11,San Antonio Spurs,121,Denver Nuggets,127,0.0,0,1980
1979-12-11,Seattle SuperSonics,103,Milwaukee Bucks,99,0.0,0,1980
1979-12-11,Indiana Pacers,124,New York Knicks,122,1.0,0,1980
1979-12-11,Phoenix Suns,123,Washington Bullets,99,0.0,0,1980
1979-12-12,New York Knicks,102,Atlanta Hawks,114,0.0,0,1980
1979-12-12,New Jersey Nets,102,Boston Celtics,116,0.0,0,1980
1979-12-12,Detroit Pistons,114,Golden State Warriors,96,0.0,0,1980
1979-12-12,Seattle SuperSonics,112,Indiana Pacers,107,0.0,0,1980
1979-12-12,Portland Trail Blazers,85,Kansas City Kings,124,0.0,0,1980
1979-12-12,Milwaukee Bucks,91,Philadelphia 76ers,112,0.0,0,1980
1979-12-12,Houston Rockets,118,San Diego Clippers,107,0.0,0,1980
1979-12-13,Washington Bullets,115,Cleveland Cavaliers,113,1.0,0,1980
1979-12-13,Houston Rockets,113,Phoenix Suns,121,0.0,0,1980
1979-12-13,San Antonio Spurs,114,Utah Jazz,144,0.0,0,1980
1979-12-14,Milwaukee Bucks,94,Boston Celtics,97,0.0,0,1980
1979-12-14,Washington Bullets,109,Indiana Pacers,111,0.0,0,1980
1979-12-14,Utah Jazz,87,Kansas City Kings,103,0.0,0,1980
1979-12-14,Detroit Pistons,122,Los Angeles Lakers,138,0.0,0,1980
1979-12-14,New York Knicks,105,New Jersey Nets,118,0.0,0,1980
1979-12-14,Atlanta Hawks,103,Philadelphia 76ers,98,0.0,0,1980
1979-12-14,Denver Nuggets,108,San Diego Clippers,112,0.0,0,1980
1979-12-14,Houston Rockets,101,Seattle SuperSonics,109,0.0,0,1980
1979-12-15,Philadelphia 76ers,96,Atlanta Hawks,112,0.0,0,1980
1979-12-15,Washington Bullets,115,Chicago Bulls,113,1.0,0,1980
1979-12-15,New Jersey Nets,111,Cleveland Cavaliers,117,0.0,0,1980
1979-12-15,San Antonio Spurs,102,Golden State Warriors,101,0.0,0,1980
1979-12-15,Boston Celtics,99,New York Knicks,96,0.0,0,1980
1979-12-15,Detroit Pistons,105,Phoenix Suns,126,0.0,0,1980
1979-12-15,Denver Nuggets,98,Portland Trail Blazers,106,0.0,0,1980
1979-12-16,Indiana Pacers,105,Kansas City Kings,107,0.0,0,1980
1979-12-16,San Antonio Spurs,119,Los Angeles Lakers,121,0.0,0,1980
1979-12-16,Utah Jazz,79,Milwaukee Bucks,104,0.0,0,1980
1979-12-16,Boston Celtics,115,New Jersey Nets,112,1.0,0,1980
1979-12-16,Houston Rockets,101,Portland Trail Blazers,123,0.0,0,1980
1979-12-16,Detroit Pistons,126,San Diego Clippers,133,0.0,0,1980
1979-12-16,Denver Nuggets,121,Seattle SuperSonics,123,0.0,0,1980
1979-12-18,Los Angeles Lakers,129,Chicago Bulls,118,0.0,0,1980
1979-12-18,Philadelphia 76ers,114,Detroit Pistons,102,0.0,0,1980
1979-12-18,San Diego Clippers,96,Kansas City Kings,110,0.0,0,1980
1979-12-18,Atlanta Hawks,99,New York Knicks,101,0.0,0,1980
