Rk,Team,G,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,YR
23,Memphis Grizzlies,82,19705,38.6,86.3,0.447,7.3,20.5,0.35700000000000004,31.3,65.9,0.475,21.0,27.9,0.754,12.2,31.8,44.0,23.6,9.6,6.6,16.5,26.3,105.5,2005
24,Detroit Pistons,82,19955,39.3,88.6,0.444,5.0,14.5,0.345,34.3,74.1,0.46299999999999997,21.9,29.7,0.7390000000000001,14.5,34.6,49.1,24.7,7.9,6.9,15.6,22.6,105.6,2005
25,Indiana Pacers,82,19905,36.9,85.3,0.43200000000000005,7.5,21.8,0.344,29.4,63.5,0.46299999999999997,24.2,30.5,0.792,12.0,33.4,45.4,20.6,8.5,4.9,16.2,26.1,105.5,2005
26,Utah Jazz,82,19780,38.8,86.5,0.449,3.4,10.5,0.32799999999999996,35.4,76.1,0.465,23.6,31.2,0.757,14.4,30.8,45.2,25.1,7.4,5.1,17.7,30.1,104.7,2005
27,Portland Trail Blazers,82,19730,39.2,87.0,0.451,5.7,15.7,0.36200000000000004,33.5,71.3,0.47100000000000003,19.1,26.3,0.725,13.1,32.6,45.7,23.3,7.9,7.4,17.7,23.1,103.2,2005
28,Atlanta Hawks,82,19855,38.9,88.2,0.441,4.0,12.9,0.312,34.9,75.4,0.46299999999999997,18.7,26.4,0.711,14.5,30.9,45.4,21.3,8.3,4.5,17.4,26.6,100.6,2005
29,New Jersey Nets,82,19905,37.3,86.9,0.429,5.9,16.3,0.36200000000000004,31.4,70.6,0.444,21.0,27.6,0.763,11.6,32.3,43.9,24.0,8.8,4.2,15.8,26.9,101.4,2005
30,New Orleans Hornets,82,19930,37.4,90.2,0.415,5.7,18.1,0.315,31.7,72.1,0.44,19.3,25.2,0.7659999999999999,14.0,31.4,45.4,23.7,7.6,4.3,16.7,25.9,99.7,2005
1,Phoenix Suns,82,19905,42.7,86.4,0.494,9.9,24.8,0.39899999999999997,32.8,61.6,0.532,18.6,23.0,0.8079999999999999,9.3,32.6,41.9,26.8,7.0,5.0,15.0,20.9,113.9,2007
2,Golden State Warriors,82,19755,40.0,86.4,0.46299999999999997,8.6,24.1,0.35600000000000004,31.4,62.3,0.504,18.6,25.9,0.7170000000000001,11.5,30.1,41.6,23.9,9.2,5.7,16.0,23.7,107.0,2007
3,Denver Nuggets,82,19780,39.4,84.7,0.465,6.0,17.9,0.336,33.4,66.8,0.5,22.7,30.5,0.746,12.5,31.9,44.3,23.9,8.4,5.4,16.8,21.9,107.6,2007
4,Washington Wizards,82,19830,39.5,87.7,0.45,7.2,20.8,0.348,32.3,67.0,0.48200000000000004,23.9,31.2,0.765,12.8,30.6,43.4,21.4,8.2,4.8,14.6,23.5,110.1,2007
5,Los Angeles Lakers,82,20030,39.7,85.4,0.466,7.8,22.1,0.353,32.0,63.3,0.505,21.3,28.5,0.747,11.3,32.0,43.3,23.7,7.7,5.4,16.3,24.2,108.6,2007
6,Memphis Grizzlies,82,19980,38.5,82.7,0.465,6.4,17.5,0.36700000000000005,32.1,65.3,0.491,23.5,30.9,0.7609999999999999,11.1,30.5,41.6,21.6,7.2,5.2,17.2,23.4,106.9,2007
7,Utah Jazz,82,19805,40.6,85.6,0.474,4.7,14.0,0.335,35.9,71.6,0.501,24.2,32.6,0.743,13.6,32.5,46.1,26.8,7.6,4.5,16.9,27.3,110.1,2007
8,Sacramento Kings,82,19805,37.6,83.5,0.45,6.8,19.3,0.35,30.8,64.2,0.48,24.2,31.6,0.765,10.2,30.6,40.8,21.3,8.6,3.4,15.3,22.9,106.2,2007
9,Dallas Mavericks,82,19755,40.8,87.4,0.467,7.3,19.1,0.381,33.6,68.4,0.491,22.3,27.7,0.805,12.5,34.1,46.6,22.1,7.6,5.5,15.5,24.9,111.3,2007
10,Milwaukee Bucks,82,19855,40.9,87.9,0.465,6.9,19.3,0.35600000000000004,34.0,68.6,0.495,18.4,25.1,0.733,12.3,29.7,42.1,23.2,7.7,2.9,16.2,23.8,107.0,2007
11,Toronto Raptors,82,19755,39.8,85.9,0.46299999999999997,7.0,19.2,0.363,32.8,66.7,0.49200000000000005,20.5,26.0,0.7879999999999999,9.9,32.5,42.5,23.9,7.6,4.2,14.5,21.9,107.0,2007
12,Seattle SuperSonics,82,19830,40.2,87.4,0.46,6.9,19.1,0.36200000000000004,33.2,68.2,0.48700000000000004,19.9,25.2,0.7909999999999999,12.2,30.6,42.8,22.3,8.3,4.0,16.7,23.7,107.2,2007
13,Chicago Bulls,82,19780,39.5,86.3,0.457,6.2,16.0,0.38799999999999996,33.2,70.3,0.473,19.8,27.0,0.7340000000000001,12.7,33.6,46.4,23.7,8.3,5.8,17.0,24.7,104.9,2007
14,San Antonio Spurs,82,19780,40.5,85.5,0.474,8.0,21.1,0.381,32.5,64.4,0.504,20.1,26.8,0.7509999999999999,10.3,34.8,45.1,24.5,7.9,5.6,15.4,21.5,109.2,2007
15,New Jersey Nets,82,19880,38.5,84.3,0.457,8.0,22.1,0.363,30.4,62.1,0.49,20.7,28.5,0.727,10.9,33.4,44.2,25.9,6.6,3.6,16.0,24.7,105.7,2007
16,New York Knicks,82,20005,38.4,84.0,0.457,6.3,18.1,0.34600000000000003,32.1,65.9,0.48700000000000004,22.7,31.7,0.715,13.6,33.3,46.9,20.3,7.2,3.4,18.6,25.5,105.7,2007
17,Houston Rockets,82,19855,38.7,87.0,0.445,9.4,25.2,0.37200000000000005,29.3,61.8,0.475,19.1,25.4,0.753,11.7,35.6,47.3,22.7,7.8,4.5,15.5,22.8,106.0,2007
18,Charlotte Bobcats,82,20005,38.6,86.6,0.446,6.0,16.7,0.35700000000000004,32.6,69.9,0.467,20.4,27.8,0.7340000000000001,12.0,30.6,42.6,23.9,8.3,4.8,16.0,25.9,103.6,2007
19,Cleveland Cavaliers,82,19880,39.6,88.5,0.447,6.6,18.7,0.35200000000000004,33.0,69.9,0.473,19.7,28.4,0.696,13.8,33.6,47.4,22.7,8.3,4.7,15.6,23.7,105.5,2007
20,Minnesota Timberwolves,82,20005,39.5,85.8,0.461,5.1,14.4,0.353,34.5,71.4,0.483,19.8,25.0,0.792,10.8,32.6,43.4,24.4,7.0,4.3,16.9,23.2,103.9,2007
21,Detroit Pistons,82,19880,40.7,89.7,0.45399999999999996,6.2,18.1,0.344,34.5,71.6,0.48100000000000004,21.3,27.5,0.774,13.1,32.8,46.0,24.5,8.1,6.5,13.8,23.1,108.9,2007
22,Boston Celtics,82,19855,37.5,84.8,0.44299999999999995,6.2,16.9,0.36700000000000005,31.4,67.9,0.462,21.9,28.6,0.767,12.1,31.4,43.5,21.4,7.7,5.0,17.7,25.9,103.2,2007
23,Los Angeles Clippers,82,19730,38.6,84.7,0.456,4.2,12.1,0.348,34.4,72.6,0.474,23.7,30.1,0.7879999999999999,11.9,33.3,45.2,23.6,8.0,6.3,16.6,24.9,105.1,2007
24,Indiana Pacers,82,19780,37.7,86.1,0.43799999999999994,6.3,18.2,0.34600000000000003,31.4,67.9,0.462,21.2,27.9,0.76,13.0,32.0,45.0,22.0,7.9,5.9,17.5,25.1,102.9,2007
