Rk,Team,G,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,YR
3,Memphis Grizzlies,82,19880,38.5,85.4,0.451,11.9,33.0,0.36,26.6,52.5,0.508,19.8,25.3,0.784,9.8,36.0,45.8,24.0,7.8,5.0,15.6,22.0,108.8,2019
4,Utah Jazz,82,19755,39.7,87.8,0.452,9.8,27.5,0.355,29.9,60.3,0.496,16.6,22.1,0.753,8.9,33.5,42.3,21.4,8.4,4.6,13.8,22.2,105.7,2019
5,Orlando Magic,82,19780,40.5,88.9,0.456,10.6,30.6,0.34700000000000003,29.9,58.3,0.513,16.5,21.2,0.778,9.1,36.1,45.3,23.4,7.1,4.5,13.2,19.0,108.1,2019
6,Denver Nuggets,82,19730,40.4,88.2,0.45799999999999996,11.0,32.6,0.33899999999999997,29.4,55.6,0.528,17.1,22.7,0.753,9.9,33.4,43.4,25.1,7.6,5.1,13.8,20.8,108.9,2019
7,Detroit Pistons,82,19855,40.6,86.5,0.469,9.8,28.3,0.345,30.9,58.2,0.53,18.3,24.2,0.755,9.3,35.2,44.5,24.1,7.0,5.2,14.3,21.7,109.2,2019
8,Boston Celtics,82,19780,39.4,87.9,0.44799999999999995,11.5,33.5,0.344,27.9,54.5,0.513,17.4,22.8,0.764,10.4,35.5,45.8,23.6,6.8,3.9,15.1,19.5,107.8,2019
9,Toronto Raptors,82,19880,39.8,88.6,0.449,10.6,30.8,0.345,29.2,57.8,0.505,16.9,22.0,0.765,10.5,33.8,44.3,24.3,7.5,4.4,14.8,20.3,107.1,2019
10,Houston Rockets,82,19830,41.0,87.9,0.466,10.3,30.2,0.34,30.7,57.7,0.532,18.5,24.0,0.768,11.1,34.9,46.1,23.9,7.5,4.6,15.2,20.3,110.7,2019
11,Milwaukee Bucks,82,19780,39.0,90.1,0.433,12.6,35.0,0.361,26.4,55.1,0.479,14.6,19.9,0.733,9.6,34.1,43.6,23.9,6.5,4.6,12.9,19.4,105.2,2019
12,San Antonio Spurs,82,19805,42.0,90.7,0.46299999999999997,11.8,33.0,0.359,30.1,57.7,0.522,15.4,20.4,0.755,9.3,35.1,44.4,25.0,7.3,4.1,12.3,19.9,111.2,2019
