Rk,Team,G,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,YR,Type
15,New Jersey Nets,82,19805,40.0,84.2,0.475,0.4,1.6,0.24600000000000002,39.6,82.6,0.48,20.5,27.3,0.7509999999999999,12.6,27.3,39.9,23.8,8.6,5.3,19.2,25.4,101.0,1981,Offensive
16,San Diego Clippers,82,19730,42.2,88.4,0.47700000000000004,1.6,4.9,0.324,40.6,83.4,0.486,20.0,27.3,0.735,14.2,26.0,40.2,25.5,9.3,3.5,17.1,25.2,106.0,1981,Offensive
17,Cleveland Cavaliers,82,19780,42.8,91.5,0.467,0.9,3.0,0.289,41.9,88.6,0.473,17.9,23.0,0.778,15.1,27.0,42.1,24.1,7.6,3.9,16.8,24.0,104.3,1981,Offensive
18,Washington Bullets,82,19780,42.1,89.1,0.47200000000000003,0.8,2.9,0.27,41.3,86.3,0.479,17.8,24.6,0.723,13.7,30.0,43.7,25.5,7.6,4.6,16.9,22.5,102.7,1981,Offensive
19,Atlanta Hawks,82,19930,39.9,83.2,0.479,0.1,1.0,0.122,39.8,82.2,0.484,24.4,31.4,0.777,14.6,26.9,41.5,22.4,9.1,5.7,19.4,27.6,104.3,1981,Offensive
20,Seattle SuperSonics,82,19780,40.4,86.4,0.46799999999999997,0.4,1.4,0.27399999999999997,40.1,85.0,0.47100000000000003,21.9,28.7,0.763,14.1,29.4,43.6,23.5,7.6,5.3,18.4,24.0,103.2,1981,Offensive
21,Dallas Mavericks,82,19780,39.4,85.2,0.462,0.6,2.0,0.27899999999999997,38.8,83.2,0.467,23.0,30.6,0.7509999999999999,13.6,26.8,40.4,24.4,6.9,2.6,17.7,24.7,102.4,1981,Offensive
22,Utah Jazz,82,19730,41.5,85.0,0.488,0.5,2.0,0.258,41.0,83.0,0.494,19.9,25.9,0.767,12.0,29.0,40.9,24.3,7.9,4.8,17.7,26.3,103.4,1981,Offensive
23,Detroit Pistons,82,19755,38.8,83.9,0.46299999999999997,0.2,1.0,0.155,38.7,82.8,0.467,20.3,28.0,0.725,14.4,25.3,39.8,21.8,10.6,5.9,21.1,25.5,98.1,1981,Offensive
1,Phoenix Suns,82,19705,43.2,89.1,0.484,4.3,13.1,0.33,38.8,76.0,0.511,21.1,29.0,0.728,15.4,30.9,46.2,28.5,9.4,5.8,16.4,20.6,111.7,1994,Offensive
