Rk,Team,G,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,YR,Type
7,Golden State Warriors,82,19780,38.5,89.7,0.429,4.1,12.8,0.322,34.4,77.0,0.447,21.7,30.1,0.722,17.1,32.0,49.1,21.9,8.3,6.7,17.7,24.2,102.8,2002,Offensive
8,Milwaukee Bucks,82,19905,40.6,87.9,0.462,7.9,21.2,0.375,32.7,66.7,0.49,17.7,23.6,0.748,11.2,34.2,45.4,24.7,8.0,5.2,15.5,23.9,106.9,2002,Offensive
9,Indiana Pacers,82,19905,38.5,86.3,0.446,5.3,15.7,0.33899999999999997,33.2,70.6,0.47,21.8,28.3,0.772,12.2,33.7,45.9,24.7,8.6,5.7,16.4,24.6,104.1,2002,Offensive
10,San Antonio Spurs,82,19855,39.1,85.4,0.45799999999999996,5.9,16.3,0.36200000000000004,33.2,69.2,0.48,22.4,30.2,0.742,12.2,34.5,46.6,22.1,8.4,7.2,15.8,21.1,106.5,2002,Offensive
11,Portland Trail Blazers,82,19830,40.7,90.4,0.45,6.3,17.9,0.354,34.4,72.5,0.474,19.7,25.8,0.763,14.7,33.1,47.8,26.1,9.5,5.0,15.9,21.8,107.4,2002,Offensive
12,Boston Celtics,82,19830,37.3,88.1,0.424,9.1,25.5,0.359,28.2,62.6,0.45,19.6,25.6,0.764,11.7,33.6,45.3,22.5,10.4,3.8,14.6,23.2,103.4,2002,Offensive
13,New Jersey Nets,82,19830,40.1,89.9,0.446,5.3,15.7,0.33799999999999997,34.8,74.1,0.469,18.5,25.1,0.735,13.7,33.2,46.9,26.2,9.4,6.5,15.7,22.9,104.0,2002,Offensive
14,Utah Jazz,82,19830,38.5,85.5,0.45,3.8,11.3,0.33299999999999996,34.7,74.2,0.46799999999999997,24.8,32.6,0.763,14.9,31.5,46.4,26.8,10.0,7.0,18.1,26.4,105.6,2002,Offensive
15,Los Angeles Clippers,82,19805,40.0,89.7,0.445,5.5,15.4,0.35600000000000004,34.5,74.3,0.46399999999999997,20.1,27.3,0.7390000000000001,14.6,33.3,47.8,23.1,6.9,7.3,16.3,21.8,105.5,2002,Offensive
16,Cleveland Cavaliers,82,19855,39.5,88.1,0.44799999999999995,5.2,13.7,0.377,34.3,74.4,0.461,20.5,26.5,0.772,13.0,33.2,46.2,25.3,7.7,6.3,16.0,23.5,104.6,2002,Offensive
17,Phoenix Suns,82,19830,41.0,91.8,0.447,4.7,14.5,0.327,36.3,77.3,0.469,16.5,21.6,0.767,14.2,32.2,46.4,24.3,8.8,5.3,16.0,23.6,103.3,2002,Offensive
18,Detroit Pistons,82,19680,38.5,85.3,0.452,7.7,20.4,0.376,30.9,64.9,0.475,20.0,26.5,0.7559999999999999,11.0,32.1,43.0,23.9,8.8,7.7,16.2,23.0,104.8,2002,Offensive
19,Atlanta Hawks,82,19780,38.3,87.3,0.439,5.6,15.8,0.354,32.7,71.5,0.45799999999999996,19.6,25.6,0.765,12.6,32.3,44.9,21.9,8.8,4.6,16.8,22.5,101.8,2002,Offensive
20,Charlotte Hornets,82,19755,39.2,89.2,0.44,4.7,13.5,0.348,34.5,75.7,0.456,21.2,28.5,0.745,14.3,33.9,48.3,23.8,8.8,6.2,15.6,23.7,104.3,2002,Offensive
21,Washington Wizards,82,19730,40.5,91.8,0.441,4.2,10.8,0.38799999999999996,36.3,80.9,0.44799999999999995,19.7,25.7,0.765,14.5,33.0,47.5,23.6,7.8,4.9,14.7,24.3,104.8,2002,Offensive
22,Houston Rockets,82,19980,38.6,90.3,0.428,6.8,20.2,0.335,31.9,70.1,0.455,19.1,25.8,0.741,14.0,32.8,46.8,20.2,7.3,6.1,15.7,20.1,103.1,2002,Offensive
23,Denver Nuggets,82,19805,39.1,92.1,0.424,5.7,17.2,0.32899999999999996,33.4,74.9,0.446,17.5,23.6,0.7440000000000001,15.0,31.0,46.0,24.4,8.2,6.2,16.2,25.1,101.4,2002,Offensive
24,New York Knicks,82,19805,38.0,88.1,0.43200000000000005,6.4,18.2,0.353,31.6,69.9,0.45299999999999996,19.0,24.1,0.787,11.8,33.2,45.0,23.2,7.5,3.9,16.1,24.3,101.5,2002,Offensive
25,Toronto Raptors,82,19755,40.0,92.1,0.434,5.3,15.2,0.349,34.7,76.9,0.451,17.4,23.5,0.7390000000000001,15.2,32.0,47.2,24.3,9.4,6.2,16.1,24.2,102.6,2002,Offensive
26,Philadelphia 76ers,82,19730,38.4,88.1,0.436,2.9,9.8,0.299,35.4,78.3,0.45299999999999996,22.4,28.8,0.779,14.9,34.7,49.6,22.4,9.6,5.0,17.2,22.5,102.1,2002,Offensive
27,Memphis Grizzlies,82,19780,38.0,87.0,0.436,4.5,14.6,0.307,33.5,72.4,0.462,17.8,25.1,0.708,13.1,32.1,45.2,23.8,8.6,6.5,17.9,20.9,98.2,2002,Offensive
28,Chicago Bulls,82,19805,37.6,86.9,0.433,4.0,11.6,0.34600000000000003,33.6,75.3,0.447,18.9,26.2,0.722,12.4,31.6,43.9,24.3,8.5,4.8,16.8,24.5,98.2,2002,Offensive
29,Miami Heat,82,19930,38.6,87.9,0.439,4.3,12.4,0.34700000000000003,34.3,75.5,0.45399999999999996,17.0,23.5,0.7240000000000001,12.4,35.0,47.5,22.9,7.5,6.2,16.8,25.4,98.5,2002,Offensive
1,Sacramento Kings,82,20080,39.7,88.2,0.449,6.1,17.1,0.354,33.6,71.1,0.47200000000000003,20.3,26.3,0.7709999999999999,12.5,34.2,46.7,23.4,10.0,5.5,15.5,20.2,105.6,2001,Offensive
2,Milwaukee Bucks,82,19780,41.0,89.5,0.45799999999999996,7.4,19.5,0.379,33.6,70.0,0.48,19.4,24.7,0.787,12.8,32.9,45.8,24.3,8.8,5.1,14.8,25.4,108.8,2001,Offensive
3,Los Angeles Lakers,82,19905,40.9,87.9,0.465,5.8,16.8,0.344,35.1,71.1,0.494,20.9,30.7,0.6829999999999999,14.3,33.9,48.2,24.8,7.4,6.4,15.6,24.6,108.4,2001,Offensive
4,Dallas Mavericks,82,19805,40.1,87.3,0.45899999999999996,6.7,17.6,0.381,33.4,69.7,0.479,20.2,25.4,0.794,10.8,33.4,44.2,22.6,8.0,6.4,14.8,24.8,107.1,2001,Offensive
5,Toronto Raptors,82,19955,40.3,92.2,0.43700000000000006,5.7,15.4,0.369,34.6,76.8,0.451,19.6,26.2,0.747,14.8,33.4,48.2,26.5,7.9,6.9,14.3,23.1,105.9,2001,Offensive
6,Orlando Magic,82,19955,38.9,88.7,0.43799999999999994,6.3,17.4,0.364,32.6,71.4,0.456,19.1,26.7,0.7140000000000001,13.8,31.6,45.4,23.3,8.7,6.2,16.1,26.7,103.2,2001,Offensive
7,Minnesota Timberwolves,82,19830,41.5,90.5,0.45799999999999996,4.2,11.9,0.35700000000000004,37.2,78.7,0.473,18.0,22.9,0.785,13.2,32.6,45.8,27.5,9.0,6.0,15.0,25.0,105.2,2001,Offensive
8,Seattle SuperSonics,82,19805,40.1,88.0,0.456,6.2,15.5,0.39899999999999997,33.9,72.5,0.46799999999999997,19.2,26.3,0.732,13.2,32.1,45.3,23.7,8.7,5.4,16.6,22.9,105.6,2001,Offensive
9,Houston Rockets,82,19830,39.4,86.9,0.45299999999999996,6.7,18.9,0.35700000000000004,32.7,68.0,0.48,21.2,27.9,0.758,12.3,33.8,46.1,21.6,7.9,4.8,16.1,22.2,106.7,2001,Offensive
10,Utah Jazz,82,19780,40.0,85.0,0.47100000000000003,4.4,11.5,0.381,35.6,73.5,0.485,23.2,30.8,0.752,12.7,32.2,45.0,28.5,8.9,6.3,17.5,28.5,107.6,2001,Offensive
11,Denver Nuggets,82,19780,39.0,90.1,0.433,6.7,18.9,0.355,32.3,71.2,0.45399999999999996,19.0,25.7,0.737,13.7,33.8,47.5,25.8,7.2,7.0,14.9,23.8,103.7,2001,Offensive
12,San Antonio Spurs,82,19830,39.0,84.6,0.461,6.0,14.8,0.40700000000000003,33.0,69.8,0.47200000000000003,22.6,31.6,0.715,12.2,36.6,48.8,24.0,7.7,7.8,15.5,21.0,106.6,2001,Offensive
13,Detroit Pistons,82,19855,37.2,87.8,0.424,5.0,14.2,0.35,32.3,73.6,0.439,20.5,28.5,0.721,14.1,33.5,47.6,20.8,7.8,5.7,16.6,24.9,100.0,2001,Offensive
14,Portland Trail Blazers,82,19780,40.9,87.3,0.46799999999999997,5.0,14.4,0.349,35.9,73.0,0.49200000000000005,19.7,25.8,0.762,13.1,33.8,46.8,26.7,9.1,5.7,17.1,23.8,106.5,2001,Offensive
15,Philadelphia 76ers,82,19855,38.7,86.6,0.447,3.5,10.7,0.326,35.2,75.8,0.46399999999999997,22.6,30.4,0.745,14.3,34.7,49.0,22.6,9.2,5.4,17.2,22.3,103.6,2001,Offensive
16,Boston Celtics,82,19830,36.3,84.8,0.428,7.7,21.3,0.363,28.5,63.4,0.45,21.2,28.6,0.74,11.7,30.9,42.7,22.3,10.1,4.4,16.8,25.5,101.4,2001,Offensive
17,Phoenix Suns,82,19805,38.3,87.9,0.436,4.3,13.7,0.315,34.0,74.2,0.45799999999999996,19.4,25.7,0.755,12.6,32.9,45.5,24.8,10.1,5.6,16.3,24.3,100.3,2001,Offensive
18,Washington Wizards,82,19680,37.3,84.9,0.439,3.6,11.2,0.324,33.7,73.8,0.456,22.4,29.5,0.759,13.4,31.2,44.6,21.7,8.3,5.0,18.3,25.2,100.6,2001,Offensive
19,Indiana Pacers,82,19980,38.0,86.4,0.44,5.3,15.6,0.342,32.7,70.8,0.461,20.7,27.0,0.7659999999999999,12.4,34.9,47.2,23.7,7.6,6.5,16.7,25.9,102.0,2001,Offensive
20,Golden State Warriors,82,19780,37.9,92.5,0.409,3.6,12.4,0.293,34.2,80.1,0.42700000000000005,18.4,26.1,0.706,17.3,30.8,48.1,23.1,9.6,5.3,16.8,22.3,97.8,2001,Offensive
21,Los Angeles Clippers,82,20030,38.7,86.4,0.44799999999999995,4.8,14.2,0.33899999999999997,33.9,72.2,0.469,19.1,27.5,0.693,12.9,34.2,47.1,21.2,6.5,6.9,17.3,23.7,101.3,2001,Offensive
22,Cleveland Cavaliers,82,19830,38.3,86.7,0.442,2.9,8.7,0.33399999999999996,35.4,77.9,0.455,20.7,27.1,0.765,13.5,32.4,45.8,22.7,8.5,5.8,17.9,25.3,100.3,2001,Offensive
23,New Jersey Nets,82,19730,36.8,86.8,0.425,4.8,14.4,0.33299999999999996,32.1,72.4,0.44299999999999995,21.6,28.4,0.759,12.0,31.0,43.0,21.2,8.6,5.4,16.0,26.3,100.0,2001,Offensive
24,Charlotte Hornets,82,19880,37.8,87.8,0.431,4.6,13.3,0.34600000000000003,33.2,74.5,0.446,21.6,29.0,0.745,13.9,35.2,49.2,25.7,9.0,6.1,16.0,23.7,101.8,2001,Offensive
25,Vancouver Grizzlies,82,19780,38.0,86.5,0.439,4.3,12.5,0.34299999999999997,33.7,74.0,0.455,19.3,25.0,0.77,11.8,32.2,44.0,25.1,7.8,4.8,17.1,22.9,99.6,2001,Offensive
26,Atlanta Hawks,82,19730,38.0,88.2,0.431,4.4,12.3,0.35700000000000004,33.6,75.9,0.44299999999999995,18.2,24.0,0.759,13.6,32.9,46.5,20.6,8.4,5.1,18.1,24.6,98.7,2001,Offensive
27,Miami Heat,82,19880,37.4,86.8,0.43,6.6,19.2,0.345,30.7,67.6,0.455,19.7,26.0,0.759,11.3,33.8,45.0,22.6,8.8,4.2,15.6,23.9,101.1,2001,Offensive
28,New York Knicks,82,19905,38.3,86.2,0.444,5.4,15.5,0.35100000000000003,32.9,70.7,0.465,19.1,24.0,0.7959999999999999,10.8,35.1,45.9,21.1,7.6,4.8,16.5,25.9,101.2,2001,Offensive
29,Chicago Bulls,82,19855,36.8,86.8,0.424,4.5,12.9,0.34600000000000003,32.4,73.9,0.43799999999999994,19.1,25.8,0.7390000000000001,12.5,30.6,43.1,24.5,9.1,5.1,17.5,25.7,97.2,2001,Offensive
1,San Antonio Spurs,82,19755,42.8,85.9,0.498,0.6,2.3,0.252,42.2,83.6,0.505,22.5,28.1,0.8009999999999999,12.8,27.9,40.7,25.8,8.6,3.7,17.6,23.3,108.6,1980,Offensive
2,Los Angeles Lakers,82,19880,45.2,85.5,0.529,0.2,1.2,0.2,45.0,84.3,0.534,18.8,24.3,0.775,12.6,30.8,43.4,28.0,9.0,6.3,19.0,20.7,109.5,1980,Offensive
3,Cleveland Cavaliers,82,19930,43.4,91.7,0.474,0.4,2.1,0.193,43.0,89.5,0.48100000000000004,19.4,25.1,0.772,14.9,27.1,42.0,24.0,8.7,3.9,15.6,22.0,106.7,1980,Offensive
4,New York Knicks,82,19780,43.3,87.4,0.496,0.5,2.2,0.22,42.8,85.2,0.503,19.3,25.9,0.747,14.1,26.2,40.3,25.8,10.0,5.2,18.4,24.7,106.5,1980,Offensive
5,Boston Celtics,82,19880,42.6,86.9,0.49,1.9,5.0,0.384,40.6,81.9,0.496,22.4,28.8,0.779,14.4,28.9,43.3,25.9,9.5,3.6,18.1,23.2,109.4,1980,Offensive
6,Indiana Pacers,82,19855,42.1,89.0,0.473,1.0,3.6,0.28,41.1,85.3,0.48100000000000004,20.3,27.0,0.7509999999999999,16.2,26.9,43.1,24.9,10.4,6.1,17.6,22.8,105.5,1980,Offensive
7,Phoenix Suns,82,19755,41.4,83.8,0.493,0.8,3.2,0.243,40.6,80.6,0.504,22.1,28.6,0.773,12.4,28.5,40.9,26.5,10.5,4.0,18.9,21.5,105.6,1980,Offensive
8,Houston Rockets,82,19930,42.8,89.2,0.48,1.2,4.5,0.27399999999999997,41.6,84.7,0.491,21.2,27.7,0.7659999999999999,16.6,26.4,43.0,25.6,9.3,4.4,18.6,22.9,108.1,1980,Offensive
9,Milwaukee Bucks,82,19805,43.6,89.3,0.488,0.6,1.8,0.32299999999999995,43.0,87.5,0.491,19.0,24.9,0.764,14.7,28.3,43.1,26.9,9.2,6.0,17.7,22.9,106.8,1980,Offensive
10,Philadelphia 76ers,82,19855,41.3,84.0,0.49200000000000005,0.3,1.5,0.21600000000000003,41.0,82.5,0.49700000000000005,22.0,28.5,0.772,13.9,30.9,44.8,26.1,9.3,7.7,20.0,21.8,105.0,1980,Offensive
11,Detroit Pistons,82,19780,41.3,86.0,0.48,0.6,2.5,0.26,40.6,83.6,0.486,18.0,24.3,0.74,13.9,27.4,41.2,22.1,8.9,6.4,19.7,23.4,101.2,1980,Offensive
12,Seattle SuperSonics,82,19830,42.3,89.9,0.47,0.7,2.2,0.312,41.5,87.7,0.474,20.6,26.8,0.768,16.4,30.3,46.7,24.3,8.9,5.1,17.8,22.2,105.8,1980,Offensive
13,New Jersey Nets,82,19805,39.5,85.7,0.461,1.0,3.4,0.285,38.5,82.3,0.46799999999999997,21.5,27.5,0.782,14.0,29.0,43.0,23.9,9.9,6.6,19.4,24.9,101.5,1980,Offensive
14,Denver Nuggets,82,19830,40.3,87.0,0.46299999999999997,1.0,3.0,0.325,39.4,84.0,0.46799999999999997,21.8,29.6,0.737,15.3,29.4,44.7,24.2,8.7,4.7,17.9,22.3,103.4,1980,Offensive
15,Kansas City Kings,82,19805,42.1,87.9,0.478,0.3,1.3,0.21899999999999997,41.8,86.6,0.48200000000000004,19.6,26.4,0.743,13.9,28.5,42.5,24.9,10.1,4.2,16.9,25.1,104.0,1980,Offensive
16,San Diego Clippers,82,19755,42.2,89.8,0.47,2.1,6.5,0.326,40.1,83.3,0.48200000000000004,19.1,26.0,0.736,15.5,27.7,43.2,20.2,8.0,3.5,17.3,22.7,105.7,1980,Offensive
17,Chicago Bulls,82,19905,39.8,82.2,0.484,0.8,3.3,0.255,39.0,78.9,0.494,23.9,30.7,0.779,13.2,29.2,42.4,25.5,8.3,4.6,19.9,25.4,104.3,1980,Offensive
18,Washington Bullets,82,19880,42.0,91.7,0.45799999999999996,0.9,2.8,0.307,41.2,88.9,0.46299999999999997,18.3,24.1,0.758,15.7,32.0,47.7,25.9,6.2,5.2,16.2,22.3,103.2,1980,Offensive
19,Atlanta Hawks,82,19780,40.0,86.2,0.46399999999999997,0.2,0.9,0.17300000000000001,39.9,85.3,0.467,25.0,32.5,0.7709999999999999,16.8,29.5,46.3,23.5,9.6,6.6,18.3,28.1,105.2,1980,Offensive
20,Golden State Warriors,82,19880,42.4,87.9,0.48200000000000004,0.3,1.5,0.223,42.0,86.4,0.486,17.0,23.0,0.738,13.9,29.3,43.1,24.4,9.4,4.1,17.9,25.0,102.0,1980,Offensive
21,Portland Trail Blazers,82,19780,42.0,88.2,0.47600000000000003,0.3,1.6,0.19699999999999998,41.6,86.6,0.48100000000000004,19.2,25.9,0.743,15.9,29.6,45.6,23.4,8.7,5.8,19.1,24.1,103.4,1980,Offensive
22,Utah Jazz,82,19805,42.0,84.7,0.496,0.7,2.3,0.319,41.3,82.4,0.501,19.5,24.1,0.809,12.0,29.3,41.3,24.9,8.1,4.5,19.2,24.9,104.2,1980,Offensive
1,Phoenix Suns,82,19780,42.4,88.8,0.47700000000000004,10.1,25.6,0.39299999999999996,32.3,63.1,0.512,19.7,26.3,0.748,12.2,33.5,45.8,24.4,7.2,5.7,14.2,19.8,114.5,2005,Offensive
2,Sacramento Kings,82,19855,41.6,90.7,0.45899999999999996,6.8,18.1,0.374,34.8,72.5,0.48,20.5,26.0,0.787,13.3,31.9,45.2,26.0,8.8,4.1,13.9,21.9,110.5,2005,Offensive
3,Dallas Mavericks,82,19730,40.1,87.8,0.457,6.1,16.7,0.364,34.0,71.1,0.479,24.0,30.4,0.789,13.0,33.2,46.2,21.1,9.3,6.0,14.5,24.0,110.3,2005,Offensive
4,Miami Heat,82,19980,41.0,84.3,0.486,6.3,16.7,0.377,34.7,67.6,0.513,21.9,32.6,0.672,11.7,34.9,46.7,23.7,7.0,6.3,14.9,24.0,110.2,2005,Offensive
5,Boston Celtics,82,19880,39.4,84.3,0.46799999999999997,5.7,16.2,0.349,33.8,68.1,0.496,23.0,30.1,0.764,11.8,31.6,43.3,23.4,8.6,5.5,16.8,25.9,107.5,2005,Offensive
6,Washington Wizards,82,19780,38.6,88.4,0.43700000000000006,6.7,19.5,0.34299999999999997,31.9,68.9,0.46299999999999997,23.3,32.2,0.725,14.7,30.9,45.6,20.3,9.3,4.5,15.2,23.5,107.2,2005,Offensive
7,Toronto Raptors,82,19805,38.6,87.0,0.444,8.5,22.0,0.385,30.1,65.0,0.46299999999999997,21.3,27.5,0.774,11.0,32.0,43.0,21.8,8.1,4.1,14.2,24.5,106.9,2005,Offensive
8,Denver Nuggets,82,19755,39.5,85.9,0.45899999999999996,4.2,12.2,0.34,35.3,73.7,0.479,22.9,30.0,0.763,12.6,32.1,44.7,25.4,9.7,6.4,15.9,24.4,106.0,2005,Offensive
9,Orlando Magic,82,19705,39.0,85.9,0.45399999999999996,4.1,11.8,0.349,34.9,74.1,0.47100000000000003,22.8,30.0,0.759,13.3,32.7,46.1,20.4,8.1,5.7,17.0,24.9,104.9,2005,Offensive
10,Philadelphia 76ers,82,19855,37.5,85.8,0.43700000000000006,6.4,18.5,0.348,31.1,67.3,0.462,22.0,27.9,0.789,11.6,32.3,43.9,21.8,9.6,4.1,16.2,23.9,103.5,2005,Offensive
11,Seattle SuperSonics,82,19755,39.8,89.8,0.444,9.2,25.2,0.365,30.6,64.6,0.474,23.3,29.5,0.79,14.4,31.9,46.3,20.6,7.6,4.7,15.4,26.9,112.2,2005,Offensive
12,Los Angeles Lakers,82,19780,38.7,88.6,0.43700000000000006,8.6,24.2,0.355,30.1,64.3,0.467,22.2,28.5,0.777,13.7,33.5,47.3,22.3,6.8,4.6,15.7,24.0,108.1,2005,Offensive
13,Golden State Warriors,82,19905,39.2,91.0,0.43,8.1,22.9,0.35200000000000004,31.1,68.1,0.457,18.3,25.3,0.722,13.8,31.5,45.3,23.4,8.3,5.4,14.4,23.7,104.7,2005,Offensive
14,New York Knicks,82,19880,39.7,87.9,0.451,5.9,16.5,0.35600000000000004,33.8,71.4,0.473,21.0,27.4,0.767,12.8,31.9,44.7,22.2,8.4,3.5,16.0,25.9,106.2,2005,Offensive
15,Milwaukee Bucks,82,19780,39.6,87.9,0.45,4.3,12.4,0.35100000000000003,35.3,75.6,0.467,23.0,29.8,0.772,13.2,32.1,45.3,23.0,7.1,3.9,15.1,24.0,106.6,2005,Offensive
16,Minnesota Timberwolves,82,19755,41.5,90.4,0.45899999999999996,5.4,15.6,0.345,36.1,74.8,0.483,19.8,24.8,0.7959999999999999,12.9,35.2,48.1,26.2,6.3,6.1,14.7,24.2,108.2,2005,Offensive
17,Cleveland Cavaliers,82,19855,40.3,90.1,0.447,4.0,12.2,0.332,36.2,77.9,0.465,22.0,29.3,0.752,15.0,31.7,46.7,24.9,8.8,6.2,15.4,24.9,106.6,2005,Offensive
18,San Antonio Spurs,82,19805,39.8,87.9,0.45299999999999996,6.9,19.0,0.363,32.9,68.9,0.478,20.9,28.9,0.7240000000000001,13.5,33.9,47.4,24.1,8.4,7.4,15.3,23.4,107.5,2005,Offensive
19,Los Angeles Clippers,82,20030,39.3,85.6,0.45899999999999996,3.1,9.0,0.345,36.2,76.6,0.473,23.8,30.6,0.778,13.2,33.0,46.2,25.6,8.1,5.7,17.3,24.5,105.5,2005,Offensive
20,Houston Rockets,82,19855,38.8,87.4,0.44299999999999995,7.5,20.7,0.364,31.2,66.7,0.46799999999999997,21.1,27.0,0.7809999999999999,11.9,35.4,47.3,23.6,7.7,5.1,15.5,24.6,106.2,2005,Offensive
21,Chicago Bulls,82,19830,37.3,86.3,0.43200000000000005,6.7,18.8,0.35700000000000004,30.6,67.5,0.45299999999999996,20.1,26.8,0.75,13.1,33.9,47.0,22.8,7.5,4.8,17.9,26.6,101.4,2005,Offensive
22,Charlotte Bobcats,82,19880,38.7,89.7,0.43200000000000005,4.2,11.5,0.363,34.6,78.2,0.442,19.5,27.4,0.7090000000000001,14.2,30.6,44.7,23.5,9.1,5.8,15.6,24.8,101.1,2005,Offensive
23,Memphis Grizzlies,82,19705,38.6,86.3,0.447,7.3,20.5,0.35700000000000004,31.3,65.9,0.475,21.0,27.9,0.754,12.2,31.8,44.0,23.6,9.6,6.6,16.5,26.3,105.5,2005,Offensive
24,Detroit Pistons,82,19955,39.3,88.6,0.444,5.0,14.5,0.345,34.3,74.1,0.46299999999999997,21.9,29.7,0.7390000000000001,14.5,34.6,49.1,24.7,7.9,6.9,15.6,22.6,105.6,2005,Offensive
25,Indiana Pacers,82,19905,36.9,85.3,0.43200000000000005,7.5,21.8,0.344,29.4,63.5,0.46299999999999997,24.2,30.5,0.792,12.0,33.4,45.4,20.6,8.5,4.9,16.2,26.1,105.5,2005,Offensive
26,Utah Jazz,82,19780,38.8,86.5,0.449,3.4,10.5,0.32799999999999996,35.4,76.1,0.465,23.6,31.2,0.757,14.4,30.8,45.2,25.1,7.4,5.1,17.7,30.1,104.7,2005,Offensive
27,Portland Trail Blazers,82,19730,39.2,87.0,0.451,5.7,15.7,0.36200000000000004,33.5,71.3,0.47100000000000003,19.1,26.3,0.725,13.1,32.6,45.7,23.3,7.9,7.4,17.7,23.1,103.2,2005,Offensive
28,Atlanta Hawks,82,19855,38.9,88.2,0.441,4.0,12.9,0.312,34.9,75.4,0.46299999999999997,18.7,26.4,0.711,14.5,30.9,45.4,21.3,8.3,4.5,17.4,26.6,100.6,2005,Offensive
29,New Jersey Nets,82,19905,37.3,86.9,0.429,5.9,16.3,0.36200000000000004,31.4,70.6,0.444,21.0,27.6,0.763,11.6,32.3,43.9,24.0,8.8,4.2,15.8,26.9,101.4,2005,Offensive
30,New Orleans Hornets,82,19930,37.4,90.2,0.415,5.7,18.1,0.315,31.7,72.1,0.44,19.3,25.2,0.7659999999999999,14.0,31.4,45.4,23.7,7.6,4.3,16.7,25.9,99.7,2005,Offensive
1,Phoenix Suns,82,19730,42.6,86.6,0.49200000000000005,9.3,22.6,0.41200000000000003,33.3,64.0,0.52,20.8,27.0,0.77,11.6,33.4,45.0,24.4,6.1,5.3,15.4,21.9,115.3,2010,Offensive
2,Golden State Warriors,82,19730,40.4,86.0,0.469,7.7,20.4,0.375,32.7,65.5,0.499,19.8,25.3,0.782,9.1,29.1,38.2,22.3,9.2,4.1,14.6,22.9,108.1,2010,Offensive
3,Denver Nuggets,82,19780,40.0,85.5,0.46799999999999997,7.0,19.4,0.359,33.0,66.1,0.5,24.8,32.1,0.772,11.4,32.1,43.5,22.0,8.7,5.3,14.5,23.6,111.8,2010,Offensive
4,Utah Jazz,82,19755,41.8,85.1,0.491,5.7,15.6,0.364,36.1,69.5,0.519,21.4,28.9,0.741,11.3,33.5,44.8,28.3,8.7,5.2,16.1,24.1,110.7,2010,Offensive
5,Toronto Raptors,82,19780,41.7,86.5,0.48200000000000004,6.8,18.2,0.371,35.0,68.2,0.512,21.1,27.6,0.764,10.5,32.7,43.2,23.5,6.1,5.0,14.3,23.7,111.3,2010,Offensive
6,Orlando Magic,82,19730,39.7,84.5,0.47,11.1,29.6,0.375,28.6,54.9,0.521,20.8,28.8,0.7240000000000001,10.7,36.2,46.9,21.3,6.8,6.0,15.3,21.5,111.4,2010,Offensive
7,Memphis Grizzlies,82,19905,41.5,88.6,0.469,4.4,13.1,0.337,37.1,75.5,0.49200000000000005,20.8,28.4,0.733,13.8,32.2,46.0,19.9,8.3,5.1,16.1,21.3,108.3,2010,Offensive
8,Houston Rockets,82,19905,39.7,88.8,0.447,8.3,23.6,0.35100000000000003,31.4,65.2,0.48100000000000004,20.0,25.9,0.772,12.4,31.7,44.1,22.9,7.5,4.1,15.2,21.9,107.6,2010,Offensive
9,New York Knicks,82,19880,40.2,88.3,0.455,9.5,27.6,0.34600000000000003,30.6,60.8,0.504,17.7,22.6,0.782,10.7,31.8,42.6,22.8,7.5,3.9,14.7,21.0,107.6,2010,Offensive
10,Cleveland Cavaliers,82,19780,41.2,84.9,0.485,8.0,21.0,0.381,33.2,63.9,0.52,20.8,29.0,0.72,10.5,35.8,46.3,24.4,7.5,5.6,15.1,21.1,111.2,2010,Offensive
11,Dallas Mavericks,82,19880,41.0,88.2,0.46399999999999997,7.3,19.6,0.37200000000000005,33.7,68.7,0.491,19.9,24.4,0.816,10.9,33.8,44.6,25.0,8.1,5.9,13.8,20.4,109.2,2010,Offensive
12,Los Angeles Lakers,82,19830,41.0,89.7,0.457,6.9,20.4,0.341,34.1,69.3,0.49200000000000005,19.8,25.9,0.765,12.7,34.7,47.4,22.6,8.0,5.2,14.3,20.8,108.8,2010,Offensive
13,Atlanta Hawks,82,19855,42.7,91.2,0.46799999999999997,7.0,19.5,0.36,35.6,71.7,0.49700000000000005,19.5,25.7,0.759,13.0,32.9,45.9,24.0,7.9,5.5,13.1,21.9,111.9,2010,Offensive
14,Oklahoma City Thunder,82,19805,39.9,86.3,0.462,5.4,16.0,0.34,34.4,70.3,0.49,23.1,28.8,0.805,12.5,33.9,46.4,21.3,8.5,6.3,16.0,22.7,108.3,2010,Offensive
15,San Antonio Spurs,82,19780,41.7,88.1,0.473,7.3,20.5,0.358,34.4,67.7,0.508,19.3,26.1,0.74,11.7,34.7,46.4,24.2,6.8,5.0,14.8,22.1,110.0,2010,Offensive
16,Indiana Pacers,82,19705,37.9,85.6,0.44299999999999995,8.3,23.8,0.348,29.6,61.8,0.479,19.6,25.3,0.775,9.9,32.9,42.7,21.7,7.3,5.5,15.5,23.2,103.7,2010,Offensive
17,New Orleans Hornets,82,19830,41.5,89.4,0.46399999999999997,7.5,20.5,0.363,34.1,68.9,0.495,16.9,21.7,0.778,11.1,32.0,43.1,23.9,8.2,3.9,14.4,21.0,107.4,2010,Offensive
